Date,Open,High,Low,Close,Volume
04-01-2022,4804.51,4818.62,4774.27,4793.54,2841121018
05-01-2022,4787.99,4797.7,4699.44,4700.58,2810603586
06-01-2022,4693.39,4725.01,4671.26,4696.05,2389339330
07-01-2022,4697.66,4707.95,4662.74,4677.03,2414328227
10-01-2022,4655.34,4673.02,4582.24,4670.29,2668776356
11-01-2022,4669.14,4714.13,4638.27,4713.07,2238558923
12-01-2022,4728.59,4748.83,4706.71,4726.35,2122392627
13-01-2022,4733.56,4744.13,4650.29,4659.03,2392404427
14-01-2022,4637.99,4665.13,4614.75,4662.85,2522462949
18-01-2022,4632.24,4632.24,4568.7,4577.11,2741096372
19-01-2022,4588.03,4611.55,4530.2,4532.76,2494214499
20-01-2022,4547.35,4602.11,4477.95,4482.73,2556569239
21-01-2022,4471.38,4494.52,4395.34,4397.94,3210070654
24-01-2022,4356.32,4417.35,4222.62,4410.13,3888349334
25-01-2022,4366.64,4411.01,4287.11,4356.45,3069079477
26-01-2022,4408.43,4453.23,4304.8,4349.93,3239353450
27-01-2022,4380.58,4428.74,4309.5,4326.51,3070684348
28-01-2022,4336.19,4432.72,4292.46,4431.85,2926083817
31-01-2022,4431.79,4516.89,4414.02,4515.55,2960132803
01-02-2022,4519.57,4550.49,4483.53,4546.54,2725815746
02-02-2022,4566.39,4595.31,4544.32,4589.38,2906346124
03-02-2022,4535.41,4542.88,4470.39,4477.44,2707325899
04-02-2022,4482.79,4539.66,4451.5,4500.53,2661230208
07-02-2022,4505.75,4521.86,4471.47,4483.87,2380580575
08-02-2022,4480.02,4531.32,4465.4,4521.54,2540145869
09-02-2022,4547,4590.03,4547,4587.18,2435234286
10-02-2022,4553.24,4588.92,4484.31,4504.08,2709241305
11-02-2022,4506.27,4526.33,4401.41,4418.64,2891247534
14-02-2022,4412.61,4426.22,4364.84,4401.67,2520881740
15-02-2022,4429.28,4472.77,4429.28,4471.07,2348139435
16-02-2022,4455.75,4489.55,4429.68,4475.01,2334132066
17-02-2022,4456.06,4456.06,4373.81,4380.26,2308231918
18-02-2022,4384.57,4394.6,4327.22,4348.87,2569037287
22-02-2022,4332.74,4362.12,4267.11,4304.76,2734224673
23-02-2022,4324.93,4341.51,4221.51,4225.5,2496800402
24-02-2022,4155.77,4294.73,4114.65,4288.7,3557984906
25-02-2022,4298.38,4385.34,4286.83,4384.65,2692920879
28-02-2022,4354.17,4388.84,4315.12,4373.94,3226746590
01-03-2022,4363.14,4378.45,4279.54,4306.26,3136231628
02-03-2022,4322.56,4401.48,4322.56,4386.54,2867342109
03-03-2022,4401.31,4416.78,4345.56,4363.49,2617737783
04-03-2022,4342.12,4342.12,4284.98,4328.87,2992345589
07-03-2022,4327.01,4327.01,4199.85,4201.09,3509191905
08-03-2022,4202.66,4276.94,4157.87,4170.7,3636375797
09-03-2022,4223.1,4299.4,4223.1,4277.88,3018723346
10-03-2022,4252.55,4268.28,4209.8,4259.52,2583441996
11-03-2022,4279.5,4291.01,4200.49,4204.31,2335196408
14-03-2022,4202.75,4247.57,4161.72,4173.11,2714056407
15-03-2022,4188.82,4271.05,4187.9,4262.45,2630767161
16-03-2022,4288.14,4358.9,4251.99,4357.86,2922879968
17-03-2022,4345.11,4412.67,4335.65,4411.67,2435098356
18-03-2022,4407.34,4465.4,4390.57,4463.12,4234433858
21-03-2022,4462.4,4481.75,4424.3,4461.18,2479499718
22-03-2022,4469.1,4522,4469.1,4511.61,2341523848
23-03-2022,4493.1,4501.07,4455.81,4456.24,2181298863
24-03-2022,4469.98,4520.58,4465.17,4520.16,2076509992
25-03-2022,4522.91,4546.03,4501.07,4543.06,1997323727
28-03-2022,4541.09,4575.65,4517.69,4575.52,2017538125
29-03-2022,4602.86,4637.3,4589.66,4631.6,2449168296
30-03-2022,4624.2,4627.77,4581.32,4602.45,2080196324
31-03-2022,4599.02,4603.07,4530.41,4530.41,2644203200
01-04-2022,4540.32,4548.7,4507.57,4545.86,2324492158
04-04-2022,4547.97,4583.5,4539.21,4582.64,2280384041
05-04-2022,4572.45,4593.45,4514.17,4525.12,2420827941
06-04-2022,4494.17,4503.94,4450.04,4481.15,2718023074
07-04-2022,4474.65,4521.16,4450.3,4500.21,2598710105
08-04-2022,4494.15,4520.41,4474.6,4488.28,2247337166
11-04-2022,4462.64,4464.35,4408.38,4412.53,2333774550
12-04-2022,4437.59,4471,4381.34,4397.45,2167088424
13-04-2022,4394.3,4453.92,4392.7,4446.59,2103002387
14-04-2022,4449.12,4460.46,4390.77,4392.59,2438692580
18-04-2022,4385.63,4410.31,4370.3,4391.69,2049261518
19-04-2022,4390.63,4471.03,4390.63,4462.21,2246729830
20-04-2022,4472.26,4488.29,4448.76,4459.45,2382044298
21-04-2022,4489.17,4512.94,4384.47,4393.66,2634157914
22-04-2022,4385.83,4385.83,4267.62,4271.78,2515855752
25-04-2022,4255.34,4299.02,4200.82,4296.12,2846155944
26-04-2022,4278.14,4278.14,4175.04,4175.2,2644480439
27-04-2022,4186.52,4240.71,4162.9,4183.96,2645379293
28-04-2022,4222.58,4308.45,4188.63,4287.5,2765340120
29-04-2022,4253.75,4269.68,4124.28,4131.93,2846133680
02-05-2022,4130.61,4169.81,4062.51,4155.38,2741101346
03-05-2022,4159.78,4200.1,4147.08,4175.48,2504555235
04-05-2022,4181.18,4307.66,4148.91,4300.17,2875234248
05-05-2022,4270.43,4270.43,4106.01,4146.87,2869945993
06-05-2022,4128.17,4157.69,4067.91,4123.34,2737777030
09-05-2022,4081.27,4081.27,3975.48,3991.24,3077820809
10-05-2022,4035.18,4068.82,3958.17,4001.05,2915264940
11-05-2022,3990.08,4049.09,3928.82,3935.18,2767622340
12-05-2022,3903.95,3964.8,3858.87,3930.08,3137341972
13-05-2022,3963.9,4038.88,3963.9,4023.89,2540467772
16-05-2022,4013.02,4046.46,3983.99,4008.01,2214046548
17-05-2022,4052,4090.72,4033.93,4088.85,2462826212
18-05-2022,4051.98,4051.98,3911.91,3923.68,2719641498
19-05-2022,3899,3945.96,3876.58,3900.79,2774587225
20-05-2022,3927.76,3943.42,3810.32,3901.36,3004732400
23-05-2022,3919.42,3981.88,3909.04,3973.75,2406253177
24-05-2022,3942.94,3955.68,3875.13,3941.48,2437966527
25-05-2022,3929.59,3999.33,3925.03,3978.73,2334313273
26-05-2022,3984.6,4075.14,3984.6,4057.84,2400529721
27-05-2022,4077.43,4158.49,4077.43,4158.24,2163529907
31-05-2022,4151.09,4168.34,4104.88,4132.15,3805436157
01-06-2022,4149.78,4166.54,4073.85,4101.23,2172170316
02-06-2022,4095.41,4177.51,4074.37,4176.82,2072172553
03-06-2022,4137.57,4142.67,4098.67,4108.54,1878566492
06-06-2022,4134.72,4168.78,4109.18,4121.43,1919014089
07-06-2022,4096.47,4164.86,4080.19,4160.68,1973745637
08-06-2022,4147.12,4160.14,4107.2,4115.77,1875032906
09-06-2022,4101.65,4119.1,4017.17,4017.82,2040178588
10-06-2022,3974.39,3974.39,3900.16,3900.86,2475868478
13-06-2022,3838.15,3838.15,3734.3,3749.63,3067433318
14-06-2022,3763.52,3778.18,3705.68,3735.48,2639249798
15-06-2022,3764.05,3837.56,3722.3,3789.99,2761970436
16-06-2022,3728.18,3728.18,3639.77,3666.77,3079954729
17-06-2022,3665.9,3707.71,3636.87,3674.84,4667721829
21-06-2022,3715.31,3779.65,3715.31,3764.79,2677535781
22-06-2022,3733.89,3801.79,3717.69,3759.89,2479596731
23-06-2022,3774.71,3802.58,3743.52,3795.73,2511277193
24-06-2022,3821.75,3913.65,3821.75,3911.74,3476679518
27-06-2022,3920.76,3927.72,3889.66,3900.11,2125082913
28-06-2022,3913,3945.86,3820.14,3821.55,2247996957
29-06-2022,3825.09,3836.5,3799.02,3818.83,2113449461
